reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,appId,sentiment
eebd53e5-2ac3-4678-81f9-3e7a3c2da4af,آبـو'رَوٓآن ٰẳβџяẳฟẳN,https://play-lh.googleusercontent.com/a-/ALV-UjWGYNwcJGDHBbjEppgU9qdtx-Qi1eI0WGqV8pAftJ1iTXYB8N4q,قفل الاوذونات و خاصة جهات الاتصال و الكاميرا..واخذ بال حضرتك,1,0,3.6.25,2026-04-28 13:05:33,,,3.6.25,com.mowaamah,negative
c74501e0-61aa-4e71-ab95-e05ba45edde2,تواصل البندري,https://play-lh.googleusercontent.com/a-/ALV-UjWPzaAuezbDlcIMESSTC3YObBPj_Q3SzVSiqglkB0M4IvdpGNbN,برنامج تافه وليس له من الحقيقة تماماً وذلك لغمض أعين الدولة عن مطالبة الشباب السعودي بعمل واتحدى من وضع هذا التطبيق أن يعطيني استبيان تقويض عملي من البرنامج الأساس,1,11,3,2021-01-03 18:32:18,,,3,com.mowaamah,negative
080716d8-6d6a-4554-be16-d4442b848198,ابراهيم السيسي,https://play-lh.googleusercontent.com/a/ACg8ocJqbAV1VQb0nuqlqNVcneVkkGa8WP7U7o2tvoSLyROYTR6_Tw=mo,في خلل في التطبيق,1,2,,2024-07-25 00:47:04,,,,com.mowaamah,negative
c6af8f4b-06ca-4ad3-9e53-a7f37ae501f9,Dalal S,https://play-lh.googleusercontent.com/a-/ALV-UjUC3CSUgBN1Ojvr2Ph9uvpFvph3hjP2GMGlA-u8y9J25yY_Oi_EnQ,انا من الاحتياجات الخاصة لكنه لك يعجبني,1,3,,2022-03-17 23:04:31,,,,com.mowaamah,negative
c7f5f84f-517e-46f6-8d6e-ed6dde323b66,Lobna Rgab,https://play-lh.googleusercontent.com/a/ACg8ocJJX1h7JLgYsaPUMaKaXHEzdrBKBkhKtNee8Ek66Uye8AIR6Hs=mo,انتهاك خصوصيه من قبل مطور البرامج,1,2,3.5.0,2024-10-14 20:19:41,,,3.5.0,com.mowaamah,negative
828df56f-a515-4379-8797-5c5be44b4fbf,عبدالكافي الجنيد,https://play-lh.googleusercontent.com/a-/ALV-UjVEQynaODr08Tv87FTTCyao-HTmNmVPHPat6jpYaWw87u0sjskf7w,قبحكم الله أنتم والإعلانات الزباله,1,7,,2022-09-28 21:56:39,,,,com.mowaamah,negative
7aaa02c5-6428-4791-90a0-53b9fc72bdec,عدنان الجعفري,https://play-lh.googleusercontent.com/a/ACg8ocJs121Xy9rbeAa5FsZDI0F2NZexET04MU0ZYacKO5K731unX6Da=mo,تحت التجربة الجبرية 🚧📵,1,3,3.1.3,2022-12-22 01:31:56,,,3.1.3,com.mowaamah,negative
4f5300a0-1f00-4c56-a901-4ee0921e5d40,سعيد ال نصيب,https://play-lh.googleusercontent.com/a/ACg8ocIE7jfMRUH_Fl5z39sVXq654izCkZtw1T2mLF9x5veKGi_8Qw=mo,ممتازه,1,1,,2023-02-07 04:43:16,,,,com.mowaamah,negative
914462ff-8d26-48ee-b2a3-c1ae770b7338,التسعاوي 79,https://play-lh.googleusercontent.com/a/ACg8ocI6X3dIb_E7-oob17uL2h-lAaothkwh7lMlQTHAeNyi7ShiUA=mo,تحياتي .. تقييمي نجمتين .. لانه غير مكتمل الاهم بالنسبه لنا الوظائف لذوي الاحتياجات .. و دائما لاتوجد,2,42,4,2021-06-26 12:14:02,,,4,com.mowaamah,negative
22e3d920-b410-4ea6-8fc1-01fba8a09c02,sulaiman ALBEDAIWY,https://play-lh.googleusercontent.com/a/ACg8ocIaTHm-BtDv93FIXPyPa9VnIfO9AqonypyllXetfHzBLXh59Q=mo,أرجوك، الدردشة فيها مشكلة، ما تقدر تكتب.لازم تحديث,2,0,3.6.12,2025-06-25 09:32:57,,,3.6.12,com.mowaamah,negative
d0e9adad-cd75-48bc-a4ef-585cb8ca9b60,سليمان الفيفي,https://play-lh.googleusercontent.com/a-/ALV-UjVWJTodlTVD6jpEqtYjwG2zzSJiCFgvyq10STCE5HJQ5BedXyM,ينقص البرنامج السماح للاشخاص غير اصحاب الهمم وذوي الاعاقه في الانظمام للبرنامج والمساهمة في ادراج المواقع للاستفادة من البرنامج بالشكل الصحيح مقترح .. وشكرا ..,2,8,,2022-12-14 17:50:36,,,,com.mowaamah,negative
